#    Model               GR#   GROUP_NAME             GDT_TS   NP_P    RANK  Z-M1-GDT  Z-M1s-GDT  Z-MA-GDT  Z-MAs-GDT  GDT_HA   Z-M1s-GDT-HA  GDC_SC   GDC_ALL  RMS_CA   RMS_ALL  NP    err  PC01  PC05  AL0_P  AL4_P  Z-M1-AL0_p  Z-M1s-AL0_p  Z-MA-AL0_p   Z-MAs-AL0_p  ALI_P  LGA_S    RMSD[L]  Z-score[M]  Z-Score[D]  Al.Res.  RMSD[D]  MolPrb_Score  LDDT    SphGr     CAD_AA  RPF     CODM    DFM     Handed.  SOV     CE      QCS     CONTS   TMscore  Dali(raw)  FlexE    QSE      CAD_SS    MolPrb_clash  MolPrb_rotout  MolPrb_ramout  MolPrb_ramfv 
1    T0864TS330_1-D1     330   Laufer_seed            29.98    100.00  1     2.64      N/A        2.37      N/A        19.41    N/A           10.86    14.32    20.259   20.361   246   1    0     0     25.20  40.65  3.14        N/A          3.00         N/A          41.06  32.435   2.06     13.25       7.5         129      9.7      1.98          0.38    39.84     0.50    0.40    0.35    1.47    0.49     57.90   5.86    60.94   57.44   0.39    652.80     93.72    49.93    0.24      1.01          6.28          1.64           88.93        
2    T0864TS179_1-D1     179   Skwark                 29.88    100.00  2     2.63      N/A        2.36      N/A        20.02    N/A           8.84     14.04    21.417   21.624   246   0    7     7     28.46  38.62  -0.50       N/A          -0.52        N/A          39.43  29.285   2.10     12.39       6.5         118      4        1.10          0.35    38.41     0.49    0.39    0.35    1.38    0.53     59.30   5.60    59.72   56.43   0.39    552.00     102.78   61.18    0.22      1.51          0.45          0.41           96.72        
3    T0864TS325_1_3-D1   325   wfRosetta-MUfold       28.05    50.00   3     2.33      N/A        2.08      N/A        18.30    N/A           16.19    13.28    4.876    5.378    123   0    0     0     25.61  34.15  3.20        N/A          3.06         N/A          34.15  24.983   2.26     15.73       7.9         119      4.3      2.58          0.25    37.20     0.29    0.28    0.23    1.56    0.52     42.90   5.33    46.05   36.22   0.36    635.10     5.39     43.03    0.17      57.34         0.85          1.65           95.04        
4    T0864TS079_1-D1     079   iFold_1                27.95    100.00  4     2.32      N/A        2.07      N/A        16.87    N/A           9.89     11.65    17.757   18.13    246   2    4     4     21.14  35.37  2.55        N/A          2.43         N/A          37.80  25.908   2.41     13.11       5.3         120      4        1.29          0.36    38.41     0.50    0.37    0.39    1.23    0.60     71.50   4.25    60.31   55.88   0.40    507.00     80.89    68.00    0.23      2.27          0.00          0.41           95.90        
5    T0864TS011_1-D1     011   LEE                    27.95    100.00  4     2.32      N/A        2.07      N/A        16.56    N/A           9.39     12.13    16.461   16.231   246   0    0     0     23.98  35.77  2.96        N/A          2.83         N/A          37.80  24.705   2.37     12.53       5.9         111      3.6      2.08          0.36    38.62     0.50    0.38    0.46    1.26    0.54     65.60   4.89    63.97   55.10   0.40    509.00     75.73    72.77    0.22      1.26          8.07          0.82           90.16        
6    T0864TS005_1-D1     005s  BAKER-ROSETTASERVER    27.44    100.00  6     2.23      4.48       1.99      4.00       16.77    4.38          8.30     11.67    19.775   19.875   246   0    3     3     25.20  32.52  3.14        5.52         3.00         5.76         32.93  25.654   2.16     11.96       6.7         125      5.8      1.00          0.36    37.60     0.50    0.39    0.39    1.45    0.60     67.20   5.04    60.21   56.54   0.37    574.70     130.37   67.80    0.23      1.26          0.45          0.00           97.13        
7    T0864TS252_1_3-D1   252   wfRosetta-ProQ-ModF6   26.02    50.00   7     2.01      N/A        1.77      N/A        15.75    N/A           12.62    10.50    4.984    5.689    123   0    0     0     22.76  35.37  2.78        N/A          2.66         N/A          35.37  22.65    2.54     16.09       6.2         111      3.9      0.67          0.23    33.13     0.28    0.26    0.23    1.57    0.52     39.05   5.46    45.04   34.72   0.35    533.40     5.24     77.12    0.17      0.49          0.00          0.00           98.35        
8    T0864TS456_1-D1     456   wfRosetta-Wallner      25.10    100.00  8     1.86      N/A        1.63      N/A        14.43    N/A           7.20     10.79    18.891   18.656   246   0    0     1     19.51  32.11  -0.50       N/A          -0.52        N/A          34.15  25.547   2.20     11.96       5.9         130      12.6     0.95          0.35    36.18     0.49    0.37    0.37    1.27    0.55     83.40   5.33    62.75   53.31   0.35    531.50     85.70    N/A      0.23      0.50          0.00          0.41           95.90        
9    T0864TS450_1-D1     450   LEEab                  24.90    100.00  9     1.83      N/A        1.60      N/A        15.65    N/A           7.85     11.57    18.528   18.282   246   0    0     0     20.33  32.11  2.43        N/A          2.32         N/A          36.59  25.063   2.40     10.81       6.5         110      4.1      2.28          0.35    35.98     0.50    0.37    0.40    1.51    0.52     64.10   5.19    60.86   55.18   0.36    543.20     92.55    74.88    0.22      3.03          8.52          1.23           92.21        
10   T0864TS173_1_3-D1   173   wfRosetta-ProQ-MESHI   24.19    50.00   10    1.71      N/A        1.50      N/A        14.43    N/A           8.21     7.93     5.675    6.708    123   0    0     0     19.11  28.05  2.26        N/A          2.15         N/A          28.05  20.72    2.49     14.66       5.4         111      4.3      3.02          0.13    25.81     0.26    0.24    0.21    1.67    0.52     38.30   5.04    40.60   30.55   0.32    484.40     8.94     51.80    0.14      41.30         5.93          0.00           95.04        
