#    Model               GR#   GROUP_NAME             GDT_TS   NP_P    RANK  Z-M1-GDT  Z-M1s-GDT  Z-MA-GDT  Z-MAs-GDT  GDT_HA   Z-M1s-GDT-HA  GDC_SC   GDC_ALL  RMS_CA   RMS_ALL  NP    err  PC01  PC05  AL0_P  AL4_P  Z-M1-AL0_p  Z-M1s-AL0_p  Z-MA-AL0_p   Z-MAs-AL0_p  ALI_P  LGA_S    RMSD[L]  Z-score[M]  Z-Score[D]  Al.Res.  RMSD[D]  MolPrb_Score  LDDT    SphGr     CAD_AA  RPF     CODM    DFM     Handed.  SOV     CE      QCS     CONTS   TMscore  Dali(raw)  FlexE    QSE      CAD_SS    MolPrb_clash  MolPrb_rotout  MolPrb_ramout  MolPrb_ramfv 
1    T0884TS183_1-D1     183s  QUARK                  65.84    100.00  1     3.26      3.26       3.61      3.61       45.07    3.34          21.49    34.56    3.721    4.305    71    0    0     0     63.38  83.10  3.21        3.21         3.45         3.45         83.10  75.946   1.87     10.43       6.6         64       2.6      2.84          0.53    68.31     0.59    0.61    0.85    0.38    0.83     81.10   4.58    76.10   68.33   0.61    258.40     4.47     73.93    0.31      6.02          12.31         10.96          83.56        
2    T0884TS236_1-D1     236s  MULTICOM-CONSTRUCT     55.63    100.00  2     2.26      2.26       2.49      2.49       35.92    2.09          16.42    25.73    5.853    6.457    71    0    0     1     52.11  76.06  2.52        2.52         2.68         2.68         76.06  63.134   2.09     8.31        5.1         61       3        2.23          0.46    47.89     0.53    0.47    0.68    0.60    0.76     62.40   3.70    60.41   61.13   0.51    215.20     16.28    74.91    0.20      57.61         0.00          0.00           98.63        
3    T0884TS287_1-D1     287s  MULTICOM-CLUSTER       54.93    100.00  3     2.19      2.19       2.41      2.41       36.27    2.14          13.09    23.47    5.147    5.949    71    0    0     1     49.30  73.24  2.35        2.35         2.49         2.49         73.24  55.023   2.30     8.95        4.4         60       3.5      2.70          0.43    47.89     0.55    0.48    0.73    0.68    0.79     79.70   3.50    65.29   62.04   0.51    186.00     11.33    76.30    0.23      123.82        1.54          0.00           98.63        
4    T0884TS479_1-D1     479s  Zhang-Server           48.24    100.00  4     1.54      1.54       1.68      1.68       31.69    1.51          11.51    20.50    7.896    8.275    71    0    0     0     40.85  60.56  1.84        1.84         1.91         1.91         60.56  47.306   2.33     6.83        3.1         51       3.5      2.51          0.44    44.37     0.51    0.49    0.65    0.83    0.67     80.90   3.89    65.79   63.33   0.43    168.30     10.36    75.49    0.19      3.44          7.69          8.22           82.19        
5    T0884TS432_1-D1     432s  Pcons-net              47.18    100.00  5     1.43      1.43       1.56      1.56       30.99    1.42          13.71    17.66    6.497    7.109    71    0    0     0     22.54  60.56  0.72        0.72         0.65         0.65         61.97  44.691   2.58     6.20        2.7         50       3.7      1.05          0.42    40.85     0.55    0.42    0.58    0.79    0.71     76.60   3.89    61.64   62.27   0.39    127.80     13.00    N/A      0.22      0.86          0.00          0.00           95.89        
6    T0884TS405_1-D1     405s  IntFOLD4               45.77    100.00  6     1.30      1.30       1.41      1.41       31.69    1.51          11.86    20.45    8.548    9.465    71    0    0     0     36.62  52.11  1.58        1.58         1.62         1.62         52.11  45.841   2.01     6.41        1.5         41       2.6      3.04          0.39    36.62     0.50    0.45    0.69    1.14    0.53     63.50   3.70    58.92   62.73   0.42    111.60     9.53     70.56    0.19      77.45         1.54          4.11           90.41        
7    T0884TS345_1-D1     345s  MULTICOM-NOVEL         42.96    100.00  7     1.02      1.02       1.10      1.10       28.17    1.03          9.03     14.83    8.878    9.508    71    0    0     0     28.17  57.75  1.06        1.06         1.04         1.04         60.56  42.292   2.47     5.77        2.6         50       3.3      2.09          0.43    47.89     0.57    0.45    0.60    0.86    0.57     80.80   3.50    60.99   65.28   0.35    142.60     11.90    66.78    0.27      20.65         0.00          0.00           95.89        
8    T0884TS467_1-D1     467s  Pareto-server          40.84    100.00  8     0.81      0.81       0.87      0.87       23.59    0.40          3.37     11.74    7.852    8.717    71    0    0     0     19.72  60.56  0.55        0.55         0.46         0.46         60.56  46.601   2.21     5.77        3.5         51       2.7      1.71          0.36    22.54     0.44    0.32    0.48    1.15    0.64     75.40   3.70    57.94   45.52   0.34    164.00     16.07    66.91    0.11      3.44          0.00          2.74           89.04        
9    T0884TS444_1-D1     444s  BhageerathH-Plus       39.79    100.00  9     0.71      0.71       0.75      0.75       26.41    0.79          8.32     12.43    8.708    9.576    71    0    0     1     22.54  39.44  0.72        0.72         0.65         0.65         54.93  38.53    2.66     5.98        0.9         38       3.2      3.88          0.40    40.14     0.48    0.41    0.69    1.07    0.52     58.20   3.70    55.26   59.65   0.32    90.50      10.55    61.40    0.16      82.55         7.69          8.22           72.60        
10   T0884TS180_1-D1     180s  PhyreTopoAlpha         38.73    100.00  10    0.61      0.61       0.63      0.63       21.48    0.11          3.52     12.76    9.487    9.847    71    1    0     0     7.04   43.66  -0.23       -0.23        -0.41        -0.41        52.11  41.937   2.38     4.71        1.3         39       3.2      2.92          0.26    11.97     0.41    0.34    0.46    1.54    0.60     60.90   3.29    57.72   45.69   0.34    104.50     21.18    49.42    0.07      102.41        0.00          2.74           93.15        
11   T0884TS251_1-D1     251s  myprotein-me           37.68    100.00  11    0.50      0.50       0.52      0.52       21.83    0.16          7.99     15.41    8.03     9.171    71    0    0     0     25.35  38.03  0.89        0.89         0.84         0.84         40.85  32.217   2.26     4.29        0.9         37       3.9      1.71          0.38    25.35     0.47    0.33    0.55    1.35    0.52     72.30   3.07    48.76   53.87   0.32    100.00     16.95    64.12    0.13      5.16          0.00          0.00           93.15        
12   T0884TS407_1-D1     407s  Distill                35.56    100.00  12    0.30      0.30       0.29      0.29       23.24    0.36          7.90     9.31     12.538   13.486   71    0    0     0     1.41   40.85  -0.57       -0.57        -0.80        -0.80        40.85  36.868   2.38     3.87        0.8         39       4.6      3.08          0.31    14.79     0.45    0.27    0.42    1.56    0.47     59.20   3.29    51.16   44.22   0.29    87.10      23.82    68.19    0.10      76.53         0.00          10.96          80.82        
13   T0884TS382_1-D1     382s  RBO_Aleph              34.86    100.00  13    0.23      0.23       0.21      0.21       20.07    -0.08         4.47     10.28    8.818    9.847    71    17   0     0     22.54  23.94  0.72        0.72         0.65         0.65         42.25  33.018   2.31     2.38        0           0        N/A      3.30          0.30    22.54     0.42    0.23    0.21    1.62    0.58     27.40   2.30    42.83   43.50   0.30    N/A        20.41    N/A      0.10      107.67        0.00          8.22           73.97        
14   T0884TS434_1-D1     434s  MULTICOM-REFINE        34.51    100.00  14    0.19      0.19       0.17      0.17       20.78    0.02          5.48     10.33    11.123   11.629   71    0    0     0     16.90  47.89  0.37        0.37         0.26         0.26         47.89  31.186   2.75     4.50        0.3         40       4.2      2.63          0.31    30.28     0.46    0.35    0.53    1.59    0.52     58.40   3.29    54.73   48.61   0.29    70.00      14.03    74.82    0.09      45.61         0.00          2.74           91.78        
15   T0884TS016_1-D1     016s  FFAS-3D                33.10    100.00  15    0.06      0.06       0.02      0.02       20.77    0.02          7.87     13.01    11.215   11.429   71    1    0     0     1.41   33.80  -0.57       -0.57        -0.80        -0.80        42.25  30.277   2.66     0.90        0.5         40       5.1      3.24          0.31    28.17     0.46    0.27    0.33    1.51    0.55     61.50   1.64    45.73   48.88   0.27    67.60      40.24    73.35    0.13      53.31         6.15          0.00           93.15        
16   T0884TS321_1-D1     321s  GAPF_LNCC_SERVER       32.39    100.00  16    -0.01     -0.01      -0.06     -0.06      22.18    0.21          5.87     11.71    12.605   12.877   71    1    0     0     1.41   0.00   -0.57       -0.57        -0.80        -0.80        39.44  28.212   2.57     2.60        0.1         38       5.8      3.16          0.32    29.58     0.48    0.40    0.54    1.21    0.55     89.50   2.83    54.01   53.58   0.27    65.80      28.59    42.31    0.19      98.02         0.00          8.22           82.19        
17   T0884TS430_1-D1     430s  GOAL_COMPLEX           32.39    100.00  16    -0.01     -0.01      -0.06     -0.06      21.48    0.11          9.93     12.95    10.442   11.107   71    0    0     0     19.72  21.13  0.55        0.55         0.46         0.46         40.85  30.514   1.96     2.38        0.5         38       8        1.67          0.38    32.39     0.52    0.36    0.57    1.26    0.54     63.00   3.07    46.88   59.63   0.26    74.20      12.11    74.59    0.15      0.00          7.69          1.37           91.78        
18   T0884TS026_1-D1     026s  chuo-u2                31.69    100.00  18    -0.08     -0.08      -0.14     -0.14      22.18    0.21          7.66     13.27    13.651   14.031   71    0    1     1     1.41   38.03  -0.57       -0.57        -0.80        -0.80        38.03  37.355   1.43     2.17        0.5         30       2.2      3.89          0.25    18.31     0.47    0.29    0.44    1.78    0.51     64.10   2.83    40.81   48.62   0.27    75.00      67.64    N/A      0.11      49.01         16.92         5.48           75.34        
19   T0884TS451_1-D1     451s  RaptorX-Contact        31.69    100.00  18    -0.08     -0.08      -0.14     -0.14      20.77    0.02          4.05     11.14    15.635   16.251   71    1    0     0     0.00   0.00   -0.66       -0.66        -0.90        -0.90        45.07  36.139   2.33     3.23        0.9         38       3.2      2.49          0.26    13.38     0.41    0.22    0.36    2.12    0.47     34.40   3.29    39.92   37.57   0.28    86.80      56.15    N/A      0.11      4.30          4.62          6.85           76.71        
20   T0884TS380_1-D1     380s  chuo-u-server          31.69    100.00  18    -0.08     -0.08      -0.14     -0.14      22.18    0.21          7.66     13.27    13.651   14.031   71    0    1     1     1.41   38.03  -0.57       -0.57        -0.80        -0.80        38.03  37.355   1.43     2.17        0.5         30       2.2      3.89          0.25    18.31     0.47    0.29    0.44    1.78    0.51     64.10   2.83    40.81   48.62   0.27    75.00      67.64    N/A      0.11      49.01         16.92         5.48           75.34        
21   T0884TS452_1-D1     452s  ZHOU-SPARKS-X          31.34    100.00  21    -0.12     -0.12      -0.18     -0.18      21.48    0.11          7.87     12.76    11.808   12.347   71    2    0     0     0.00   5.63   -0.66       -0.66        -0.90        -0.90        43.66  36.65    1.92     2.38        0.8         35       2.8      3.96          0.29    18.31     0.44    0.29    0.15    1.54    0.52     76.10   2.83    44.12   44.95   0.27    93.70      63.13    43.95    0.10      115.92        9.23          8.22           82.19        
22   T0884TS284_1-D1     284s  Seok-naive_assembly    30.99    100.00  22    -0.15     -0.15      -0.22     -0.22      16.55    -0.56         6.56     8.34     13.387   13.455   71    0    0     0     12.68  50.70  0.12        0.12         -0.03        -0.03        50.70  40.414   2.29     2.60        1           44       2.7      3.38          0.28    14.08     0.42    0.21    0.34    1.49    0.55     56.90   3.29    32.03   38.21   0.25    92.50      45.93    N/A      0.08      92.00         4.62          0.00           93.15        
23   T0884TS220_1-D1     220s  GOAL                   29.93    100.00  23    -0.25     -0.25      -0.33     -0.33      20.07    -0.08         4.23     9.76     11.38    12.148   71    0    0     0     9.86   28.17  -0.06       -0.06        -0.22        -0.22        46.48  34.744   2.62     2.17        0.7         35       3.1      1.77          0.33    25.35     0.46    0.27    0.29    1.36    0.53     61.70   2.30    38.29   48.97   0.25    89.30      37.84    73.27    0.11      0.00          9.23          0.00           90.41        
24   T0884TS495_1-D1     495s  Seok-assembly          28.52    100.00  24    -0.39     -0.39      -0.49     -0.49      17.96    -0.37         6.56     9.70     12.536   13.64    71    0    5     6     1.41   25.35  -0.57       -0.57        -0.80        -0.80        43.66  30.053   2.76     2.17        0           0        N/A      1.70          0.28    20.42     0.42    0.18    0.24    1.58    0.53     49.90   1.24    31.46   41.02   0.24    N/A        50.03    62.66    0.09      6.02          0.00          0.00           94.52        
