#    Model               GR#   GROUP_NAME             GDT_TS   NP_P    RANK  Z-M1-GDT  Z-M1s-GDT  Z-MA-GDT  Z-MAs-GDT  GDT_HA   Z-M1s-GDT-HA  GDC_SC   GDC_ALL  RMS_CA   RMS_ALL  NP    err  PC01  PC05  AL0_P  AL4_P  Z-M1-AL0_p  Z-M1s-AL0_p  Z-MA-AL0_p   Z-MAs-AL0_p  ALI_P  LGA_S    RMSD[L]  Z-score[M]  Z-Score[D]  Al.Res.  RMSD[D]  MolPrb_Score  LDDT    SphGr     CAD_AA  RPF     CODM    DFM     Handed.  SOV     CE      QCS     CONTS   TMscore  Dali(raw)  FlexE    QSE      CAD_SS    MolPrb_clash  MolPrb_rotout  MolPrb_ramout  MolPrb_ramfv 
1    T0894TS450_1-D1     450   LEEab                  63.48    100.00  1     1.79      N/A        1.88      N/A        44.66    N/A           27.35    37.26    4.819    5.521    89    0    0     0     53.93  75.28  1.57        N/A          1.69         N/A          75.28  69.734   2.00     11.53       7.7         78       3.1      1.80          0.53    57.87     0.58    0.59    0.85    0.59    0.80     51.70   4.74    75.23   64.40   0.63    347.20     9.23     44.71    0.29      0.00          6.94          5.75           85.06        
2    T0894TS060_1-D1     060   KIAS-Gdansk            60.11    100.00  2     1.58      N/A        1.66      N/A        38.20    N/A           16.59    29.93    4.072    5.202    89    0    0     0     57.30  76.40  1.73        N/A          1.85         N/A          76.40  57.03    2.20     10.35       7.1         82       3.3      1.67          0.51    56.18     0.53    0.58    0.88    0.49    0.82     51.80   4.74    78.31   65.47   0.61    325.70     8.62     69.10    0.24      0.00          4.17          1.15           82.76        
3    T0894TS004_1-D1     004   Zhang                  58.99    100.00  3     1.51      N/A        1.59      N/A        38.48    N/A           18.51    30.52    4.361    5.359    89    0    0     0     52.81  75.28  1.52        N/A          1.63         N/A          75.28  55.802   2.21     12.12       6.4         79       3.3      2.52          0.51    55.06     0.55    0.58    0.83    0.59    0.81     59.70   4.58    76.15   64.14   0.60    305.00     8.22     83.70    0.23      2.96          6.94          9.20           74.71        
4    T0894TS017_1-D1     017   McGuffin               58.71    100.00  4     1.49      N/A        1.57      N/A        38.20    N/A           19.87    28.11    4.557    5.419    89    2    4     9     51.69  70.79  1.47        N/A          1.58         N/A          71.91  53.356   2.17     11.53       6           76       3.5      3.45          0.52    54.49     0.55    0.59    0.81    0.60    0.80     60.30   4.58    76.30   65.82   0.58    280.10     9.86     60.82    0.23      37.75         8.33          10.34          82.76        
5    T0894TS183_1-D1     183s  QUARK                  57.02    100.00  5     1.39      2.31       1.46      2.76       36.52    2.31          17.12    26.53    4.584    5.473    89    0    3     10    49.44  71.91  1.37        1.97         1.47         2.51         73.03  52.653   2.28     11.73       5.7         76       3.6      2.77          0.51    52.81     0.53    0.58    0.82    0.61    0.80     53.90   4.58    75.48   64.71   0.57    276.50     9.60     82.29    0.22      5.18          6.94          11.49          67.82        
6    T0894TS079_1-D1     079   iFold_1                57.02    100.00  5     1.39      N/A        1.46      N/A        36.52    N/A           17.12    26.53    4.584    5.473    89    0    3     10    49.44  71.91  1.37        N/A          1.47         N/A          73.03  52.653   2.28     11.73       5.7         76       3.6      2.77          0.51    52.81     0.53    0.58    0.82    0.61    0.80     53.90   4.58    75.48   64.71   0.57    276.50     9.60     82.29    0.22      5.18          6.94          11.49          67.82        
7    T0894TS232_1-D1     232   Chicken_George         57.02    100.00  5     1.39      N/A        1.46      N/A        36.52    N/A           17.12    26.53    4.584    5.473    89    0    3     10    49.44  71.91  1.37        N/A          1.47         N/A          73.03  52.653   2.28     11.73       5.7         76       3.6      2.77          0.51    52.81     0.53    0.58    0.82    0.61    0.80     53.90   4.58    75.48   64.71   0.57    276.50     9.60     82.29    0.22      5.18          6.94          11.49          67.82        
8    T0894TS325_1_3-D1   325   wfRosetta-MUfold       57.02    88.76   5     1.39      N/A        1.46      N/A        38.76    N/A           19.51    28.93    3.877    4.631    79    0    0     0     0.00   0.00   -0.90       N/A          -0.87        N/A          0.00   52.452   2.08     11.03       6.3         73       3.3      2.87          0.48    50.00     0.49    0.53    0.69    0.62    0.69     54.32   4.58    71.76   60.24   0.57    290.00     6.58     35.21    0.21      56.44         3.17          0.00           96.10        
9    T0894TS303_1-D1     303   wfMESHI-TIGRESS        57.02    100.00  5     1.39      N/A        1.46      N/A        37.64    N/A           18.08    29.64    5.177    6.054    89    0    0     17    49.44  62.92  1.37        N/A          1.47         N/A          62.92  54.005   2.22     9.75        5.5         71       3.7      1.64          0.49    48.88     0.54    0.51    0.81    0.67    0.79     63.30   4.42    73.08   63.00   0.57    300.40     10.21    N/A      0.22      1.48          9.72          0.00           98.85        
10   T0894TS393_1-D1     393   MESHI                  57.02    100.00  5     1.39      N/A        1.46      N/A        37.64    N/A           19.02    30.81    5.251    6.027    89    0    0     13    48.31  60.67  1.32        N/A          1.42         N/A          62.92  53.611   2.07     9.56        5.6         75       3.9      3.02          0.50    47.75     0.52    0.51    0.80    0.66    0.79     62.30   4.42    71.93   62.07   0.57    281.80     11.30    43.45    0.21      32.57         4.17          1.15           89.66        
11   T0894TS239_1-D1     239   wfAll-Cheng            56.46    100.00  11    1.35      N/A        1.43      N/A        37.36    N/A           18.79    30.07    5.221    6.086    89    0    0     1     0.00   0.00   -0.90       N/A          -0.87        N/A          0.00   54.85    2.20     9.56        5.9         75       3.8      2.43          0.50    50.56     0.53    0.52    0.80    0.66    0.79     64.70   4.58    73.84   63.71   0.57    296.40     10.18    69.95    0.20      54.03         0.00          0.00           96.55        
12   T0894TS439_1-D1     439   MULTICOM               56.18    100.00  12    1.34      N/A        1.41      N/A        37.36    N/A           17.85    29.72    5.21     6.029    89    0    0     17    49.44  61.80  1.37        N/A          1.47         N/A          61.80  53.718   2.11     9.36        5.4         70       3.7      2.24          0.49    48.31     0.52    0.50    0.80    0.67    0.79     54.20   4.42    72.27   61.81   0.56    278.40     10.79    75.40    0.18      50.33         0.00          0.00           97.70        
13   T0894TS486_1-D1     486   TASSER                 55.90    100.00  13    1.32      N/A        1.39      N/A        37.08    N/A           19.32    30.09    5.201    6.012    89    0    10    18    48.31  66.29  1.32        N/A          1.42         N/A          66.29  52.401   2.01     9.16        5.4         75       3.9      0.82          0.49    49.44     0.53    0.50    0.80    0.67    0.79     54.20   4.58    72.12   61.44   0.56    276.40     10.99    43.95    0.23      0.00          0.00          0.00           95.40        
